タイムスタンプ,匿名コード（8桁の半角英数字）,データを表やグラフに整理できる自信がある。,グラフから特徴や傾向を読み取れる自信がある。,プログラムを実行し結果を解釈できる自信がある。,身近なテーマでデータ分析課題を立てられる自信がある。
2024-08-20 09:00:00,d6ahhqn3,2,4,1,2
2024-08-20 09:02:00,y9g8hfx4,1,3,3,2
2024-08-20 09:04:00,d1z3lezs,3,2,1,3
2024-08-20 09:06:00,2mrirkm1,2,3,4,4
2024-08-20 09:08:00,gzryxeqq,4,2,5,5
2024-08-20 09:10:00,2nm31crp,3,4,1,1
2024-08-20 09:12:00,qoqvqiau,1,4,3,3
2024-08-20 09:14:00,pdwnp2nz,1,3,4,4
2024-08-20 09:16:00,2apwu3ce,3,5,2,2
2024-08-20 09:18:00,79y00a2p,2,1,2,4
2024-08-20 09:20:00,f8ptxvy4,2,5,1,3
2024-08-20 09:22:00,byrdoqoa,2,3,1,5
2024-08-20 09:24:00,8ekantnz,1,3,2,3
2024-08-20 09:26:00,gx4yzhk5,3,3,2,4
2024-08-20 09:28:00,4utbscta,3,4,5,3
2024-08-20 09:30:00,0v5w7msz,3,3,4,1
2024-08-20 09:32:00,c0d06osu,3,2,1,3
2024-08-20 09:34:00,vyx3r40z,1,3,5,2
2024-08-20 09:36:00,ws0c7gp2,4,3,1,1
2024-08-20 09:38:00,o5xyridz,2,4,3,4
2024-08-20 09:40:00,bcrrawtr,3,3,3,3
2024-08-20 09:42:00,7yhpny5o,3,2,3,1
2024-08-20 09:44:00,niewljt3,1,3,2,1
2024-08-20 09:46:00,gvuiillp,4,2,1,2
2024-08-20 09:48:00,nm2s06no,2,2,4,3
2024-08-20 09:50:00,obse6kog,1,3,1,5
2024-08-20 09:52:00,0lw8stmt,2,1,1,4
2024-08-20 09:54:00,3zg8rdzv,5,2,1,3
2024-08-20 09:56:00,0liviqe9,2,5,4,4
2024-08-20 09:58:00,zjmjyarb,1,3,4,4
2024-08-20 10:00:00,2h74pkbt,2,2,4,4
2024-08-20 10:02:00,8uu1tvhd,3,3,2,1
2024-08-20 10:04:00,a8y5wyk3,2,4,3,4
2024-08-20 10:06:00,hh43146d,2,4,4,1
2024-08-20 10:08:00,5vxowdhn,4,2,2,4
2024-08-20 10:10:00,blcfctg4,3,3,3,3
2024-08-20 10:12:00,j9bkgk01,2,2,1,4
2024-08-20 10:14:00,3h3fe364,2,4,3,2
2024-08-20 10:16:00,d4utn0ef,2,3,2,1
